prob,alg,cost,ok,retcode,nsteps,t_ms
nls_rosenbrock,Moré (new default),0.0,true,Success,24,0.363667
tp201,Dogleg (old default),0.0,true,Success,4,0.027889999999999998
tp201,Moré (new default),0.0,true,Success,1,0.03196
tp202,Dogleg (old default),24.49212683962,true,StalledSuccess,69,0.12431899999999999
tp202,Moré (new default),24.49212683962,true,StalledSuccess,71,1.36352
tp203,Dogleg (old default),2.7377196095084654e-24,true,Success,8,0.07014899999999999
tp203,Moré (new default),2.465190328815662e-32,true,Success,5,0.056978999999999995
tp204,Dogleg (old default),0.09180060075449675,true,StalledSuccess,68,0.295028
tp204,Moré (new default),0.09180060075449675,true,StalledSuccess,74,1.4025299999999998
tp205,Dogleg (old default),2.060475102153337e-26,true,Success,7,0.07095
tp205,Moré (new default),1.6023737137301802e-30,true,Success,8,0.110279
tp206,Dogleg (old default),0.0,true,Success,3,0.030719999999999997
tp206,Moré (new default),0.0,true,Success,3,0.06907899999999999
tp207,Dogleg (old default),0.0,true,Success,5,0.033318999999999994
tp207,Moré (new default),0.0,true,Success,5,0.073449
tp208,Dogleg (old default),0.0,true,Success,20,0.05254
tp208,Moré (new default),0.0,true,Success,24,0.363808
tp209,Dogleg (old default),0.0,true,Success,86,0.139009
tp209,Moré (new default),0.0,true,Success,52,0.646955
tp210,Dogleg (old default),0.0,true,Success,256,0.371677
tp210,Moré (new default),0.0,true,Success,233,2.66762
tp211,Dogleg (old default),0.0,true,Success,5,0.03347
tp211,Moré (new default),0.0,true,Success,28,0.413647
tp212,Dogleg (old default),2.3885165047620023e-22,true,Success,6,0.03561
tp212,Moré (new default),0.0,true,Success,1,0.035769999999999996
tp213,Dogleg (old default),2.887314936452739e-16,true,StalledSuccess,104,0.47224700000000003
tp213,Moré (new default),4.9356458216623605e-17,true,Success,89,1.0277129999999999
tp240,Dogleg (old default),0.0,true,Success,3,0.027370000000000002
tp240,Moré (new default),1.990641190518647e-30,true,Success,1,0.03493
tp241,Dogleg (old default),1.0097419586828951e-28,true,Success,14,0.121169
tp241,Moré (new default),4.457289063281783e-18,true,Success,13,0.270028
tp245,Dogleg (old default),5.186914526223704e-29,true,Success,11,0.16081900000000002
tp245,Moré (new default),5.679311469236212e-20,true,Success,5,0.09362899999999999
tp246,Dogleg (old default),0.0,true,Success,5,0.034730000000000004
tp246,Moré (new default),1.232595164407831e-32,true,Success,5,0.09917899999999999
tp256,Dogleg (old default),4.108381655943842e-18,true,Success,16,0.05393
tp256,Moré (new default),4.363913744252433e-18,true,Success,16,0.153939
tp260,Dogleg (old default),1.619486604370454e-18,true,Success,78,0.557416
tp260,Moré (new default),0.0,true,Success,71,1.095492
tp261,Dogleg (old default),1.8584349302524912e-17,true,Success,16,0.16436900000000002
tp261,Moré (new default),5.590904376401772e-18,true,Success,17,0.279438
tp266,Dogleg (old default),0.5000001156838237,true,StalledSuccess,62,1.028793
tp266,Moré (new default),0.5000001156838235,true,StalledSuccess,56,2.7199
tp267,Dogleg (old default),0.0032353763965896403,false,MaxIters,400,6.258044
tp267,Moré (new default),1.3989767160673749e-24,true,Success,12,0.554146
tp271,Dogleg (old default),0.0,true,Success,1,0.02631
tp271,Moré (new default),0.0,true,Success,2,0.08124899999999999
tp272,Dogleg (old default),0.13945029035344056,false,MaxIters,400,7.629363
tp272,Moré (new default),2.9582283945787943e-31,true,Success,64,3.509004
tp273,Dogleg (old default),2.0909146494142722e-17,true,Success,7,0.108539
tp273,Moré (new default),1.5777218104420236e-30,true,Success,8,0.158329
tp282,Dogleg (old default),4.38855647526093e-27,true,Success,50,1.005202
tp282,Moré (new default),2.796603002816974e-17,true,Success,58,4.2478180000000005
tp286,Dogleg (old default),0.0,true,Success,20,0.154349
tp286,Moré (new default),0.0,true,Success,24,3.899961
